pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,st_teff,st_mass,st_rad,st_met,pl_eqt_normalized,st_met_normalized,surface_gravity,surface_gravity_normalized,habitability_score,terraformability_score,st_activity,pl_atmos,pl_surf_temp,pl_escape_vel,pl_radiation_flux,ESI,pl_water_probability
Kepler-1519 b,7.06,39.6,240.7989397,342,5644,0.94,0.91,-0.07,-1.429815467,-0.467827617,0.79448515,-0.182275461,51.60623389,63.29027311,0.589,0.852273582,371.1477565,26.52548083,0.019478295,0.147821955,0.711292512
Kepler-11 e,4.19,8,31.9996,582,5663,0.96,1.06,0.05,-0.828347915,0.198411814,0.455682071,-0.201812985,43.87985268,51.7311388,0.58425,0.291492704,598.9648754,15.4759032,0.102862749,0.046203146,0
Kepler-1575 b,1.31,2.27,2.55314213,1312,5667,0.95,0.92,-0.07,1.001115887,-0.467827617,1.322766739,-0.151811409,45.68965963,50.36442104,0.58325,0.021158666,1314.776017,14.74332039,0.419271196,0.002752016,0
KMT-2021-BLG-1770L b,12.1,6674.39655,,912.5307146,5412.39249,0.13,,0.014262971,0,-3.37E-16,45.5870265,2.40074524,42.5637489,99.51866416,0.646901878,1,1003.783786,263.045781,0,0.00065454,0
Kepler-732 c,1.27,2.15,0.89304124,893,3631,0.49,0.46,-0.01,-0.048946213,-0.134707901,1.333002666,-0.151221141,42.99747584,46.2578722,1,0.095816346,901.5563997,14.57254457,0.035584661,0.014740927,0
Kepler-331 b,1.82,3.97,8.457496,540,4347,0.65,0.49,0.118,-0.933604737,0.575947491,1.198526748,-0.158975872,44.35908395,50.31415004,0.91325,0.31765013,557.153107,16.54160256,0.018530169,0.083326781,0.065440601
HD 120084 b,12.7,2034.1018,2142,912.5307146,4879,2.16,10.37,0.1,0,0.476011577,12.61145638,0.499165699,44.99646753,95.15482635,0.78025,1,1003.783786,141.7432885,0.329021535,0.000960234,0
GJ 463 b,13,1144.18227,3448,912.5307146,3540,0.49,0.49,0.014262971,0,-3.37E-16,6.77030929,0.162328283,42.57088111,89.10506443,1,1,1003.783786,105.0736826,0.000148223,0.001149076,0
TOI-206 b,1.3,2.24,0.7363104,910,3383,0.35,0.35,0.014262971,-0.006342261,-3.37E-16,1.325443787,-0.151657034,42.85038689,46.11947726,1,0.090268013,918.2143892,14.70179476,0.017654685,0.013491296,0
HD 100546 b,77.342,2701.54146,,912.5307146,10500,2.4,1.85,0.014262971,0,-3.37E-16,0.45162798,-0.20204677,42.56274662,82.11080078,0,1,1003.783786,66.19362145,0,0.000572543,0
HD 190984 b,13,1137.8257,4885,912.5307146,5988,0.91,1.53,-0.48,0,-2.744145672,6.73269645,0.160159289,42.63862226,90.00555358,0.503,1,1003.783786,104.7814046,0.009379006,0.001151103,0
HD 204313 b,12.9,1466.7781,2041.11539,912.5307146,5767,1.03,1.1,0.18,0,0.920171197,8.814242534,0.280194377,42.62349092,92.2666778,0.55825,1,1003.783786,119.4277846,0.007462712,0.001063495,0
K2-353 b,5.55,26.3,15.466805,735,5698,0.87,0.99,-0.21,-0.444912351,-1.245106953,0.8538268,-0.178853447,43.81185517,57.69677172,0.5755,0.386048729,763.3745816,24.3808816,0.149319415,0.012805668,0
WASP-181 b,13.271,95.03117,4.5195064,1186,5839,1.04,0.97,0.09,0.685345423,0.420491624,0.539583645,-0.196974691,45.21711628,66.20485252,0.54025,0.746755726,1274.565229,29.97086215,0.358971428,0.000812923,0
HD 108236 e,3.083,9.71,19.590025,636,5660,0.87,0.88,-0.28,-0.693017716,-1.63374662,1.021579526,-0.169179765,43.69231197,53.98617075,0.585,0.299637186,655.0569251,19.87654404,0.098121518,0.033809246,0
Kepler-938 b,2.22,5.56,52.6298417,544,5533,0.92,0.89,-0.03,-0.923580277,-0.245747806,1.128155182,-0.16303394,44.25538032,52.88219978,0.61675,0.340087695,562.5007706,17.72470155,0.047426874,0.072438127,0.046872324
Kepler-1179 b,1.32,2.3,2.68505749,1137,5212,0.84,0.81,-0.03,0.562545798,-0.245747806,1.320018365,-0.151969898,44.27650137,48.60435019,0.697,0.040840056,1141.643514,14.78410285,0.224858059,0.005189478,0
HAT-P-45 b,15.984,283.492,3.128992,1652,6330,1.26,1.32,0.07,1.853194919,0.309451719,1.109608733,-0.164103446,48.70243727,78.71472393,0.4175,0.999854615,1817.175982,47.16780769,1.173229345,0.000109276,0
CoRoT-11 b,16.03,740.51,2.99433,1657,6440,1.27,1.37,-0.03,1.865725493,-0.245747806,2.881800305,-0.061907692,47.04756078,86.1306892,0.39,1,1822.7,76.12314546,1.394252224,8.11E-05,0
TOI-125 b,2.726,9.5,4.65382,1037,5320,0.86,0.85,-0.02,0.311934318,-0.190227854,1.278415131,-0.154369003,43.98925724,52.03643488,0.67,0.082908059,1045.597566,20.90821222,0.186280692,0.005035471,0
Kepler-669 b,4.83,20.8,4.12554687,1243,6038,1.15,1.2,0.14,0.828193966,0.698091387,0.891597975,-0.176675322,47.5297799,57.37748636,0.4905,0.060504766,1250.520742,23.24214064,0.66758068,0.001672967,0
Kepler-673 b,6.54,34.8,3.72873109,1023,5355,0.88,0.84,0,0.276848711,-0.079187949,0.813623993,-0.181171794,44.18809101,56.54631364,0.66125,0.227907802,1046.314968,25.835613,0.216493875,0.003039773,0
Kepler-676 b,3.04,9.48,11.59822172,396,3701,0.51,0.49,-0.02,-1.294485268,-0.190227854,1.025796399,-0.168936594,50.29367264,53.74662521,1,0.504434614,415.9756107,19.77813785,0.007887949,0.17424912,0.555640241
Kepler-1202 b,2.94,8.96,28.6851324,547,5834,1.03,1.04,0.06,-0.916061933,0.253931767,1.036605118,-0.168313295,44.46872887,55.11888773,0.5415,0.37347948,567.4293275,19.55232297,0.119964014,0.059893997,0.029759279
Kepler-1220 b,1.52,2.92,7.42693741,899,5842,1,0.99,-0.04,-0.033909524,-0.301267759,1.263850416,-0.155208897,44.70199416,50.87611678,0.5395,0.10351687,908.3061667,15.52342881,0.269070823,0.013120037,0
Kepler-1626 b,2.02,4.74,4.13962966,1352,6826,1.51,1.85,0.04,1.101360479,0.142891861,1.161650819,-0.161102371,38.34889446,45.48741537,0.2935,0.020608966,1354.786332,17.15661117,2.5857753,0.001934255,0
Kepler-1620 b,1.61,3.22,101.951829,428,6157,1.15,1.23,0.03,-1.214289594,0.087371909,1.242236025,-0.156455319,50.07947521,54.24726504,0.46075,0.437705557,446.7337978,15.8391919,0.089381301,0.193656458,0.44884098
Kepler-144 c,1.35,2.39,10.104665,1046,6075,1.15,1.24,-0.185,0.334489351,-1.106307071,1.31138546,-0.152467726,45.61835936,51.31258685,0.48125,0.060237372,1052.300829,14.90218975,0.402010197,0.00736117,0
Kepler-255 d,1.32,2.3,1.04562266,1710,5431,0.9,0.86,0.02,1.998549577,0.031851956,1.320018365,-0.151969898,46.71764165,50.93775285,0.64225,0.004331741,1710.740728,14.78410285,0.560388618,0.00079997,0
Kepler-26 d,1.07,1.24,3.543919,652,4486,0.62,0.57,-0.05,-0.652919879,-0.356787712,1.083064023,-0.165634181,43.63416844,47.03942084,0.8785,0.201526516,665.1395289,12.05693658,0.050787182,0.057482434,0
Kepler-340 c,3.37,11.3,22.824669,946,6620,1.65,1.85,0.06,0.083877871,0.253931767,0.99498983,-0.170713095,48.08278126,57.98793063,0.345,0.122442274,957.5830391,20.50889653,0.732929619,0.006789493,0
Kepler-369 b,1.13,1.51,2.732756,687,3591,0.5,0.47,-0.09,-0.565205861,-0.578867522,1.182551492,-0.159897106,43.23315987,46.3907627,1,0.18276365,699.5558628,12.94694415,0.016860869,0.04519435,0
Kepler-1685 b,2.577,7.16,20.4905,625,5484,0.96,0.84,0.21,-0.720584979,1.086731055,1.078162408,-0.165916839,43.61274644,52.81085154,0.629,0.284072122,642.7545076,18.66883961,0.076466258,0.040332895,0
Kepler-530 b,3.01,9.32,39.30941904,488,5697,0.97,0.89,-0.08,-1.063922706,-0.523347569,1.028686218,-0.168769949,46.4102724,55.34394232,0.57575,0.432282621,509.0953919,19.70800805,0.064752567,0.08762917,0.232307667
Kepler-533 b,3.38,11.4,28.51120525,423,4758,0.78,0.72,0.01,-1.226820168,-0.023667996,0.99786422,-0.17054734,48.89405199,55.26412731,0.8105,0.508813903,444.5228281,20.56894885,0.025541254,0.130970607,0.456517958
Kepler-542 b,1.57,3.09,13.14497566,698,5526,0.93,0.9,0.02,-0.537638599,0.031851956,1.253600552,-0.155799968,43.88157697,50.71887201,0.6185,0.203409455,712.19798,15.71257762,0.121668606,0.035059672,0
Kepler-607 b,0.87,0.59,0.6381632,1874,5196,0.84,0.8,-0.02,2.409552404,-0.190227854,0.77949531,-0.18313987,46.74655781,47.86466085,0.701,0.001738745,1874.325841,9.223258955,0.564666326,0.000556562,0
Kepler-619 b,3.16,10.1,5.4042722,1073,5980,1.09,1.11,0.05,0.402154451,0.198411814,1.011456497,-0.169763523,46.0034839,54.31186776,0.505,0.071454198,1080.667035,20.02327759,0.459038452,0.004172134,0
Kepler-1727 b,3.173,10.2,9.02929974,757,5349,0.82,0.82,-0.12,-0.389777825,-0.745427379,1.013117991,-0.169667711,43.60484477,52.69978169,0.66275,0.209719901,772.8757965,20.08089533,0.11389515,0.017232926,0
Kepler-1730 b,4.485,18.4,13.81019974,833,5942,1.01,1.14,-0.04,-0.199313101,-0.301267759,0.914730012,-0.175341383,44.53253586,55.9834233,0.5145,0.227851815,851.9800562,22.68536182,0.252520614,0.009334527,0
Kepler-949 b,2.91,8.8,8.6893073,782,5403,0.89,0.86,0.01,-0.327124956,-0.023667996,1.039194152,-0.168163995,43.73701584,52.30023683,0.64925,0.184509058,796.4286084,19.47658741,0.133793963,0.01603951,0
Kepler-956 b,3,9.27,5.24867263,1056,6040,1.1,1.15,0.02,0.359550499,0.031851956,1.03,-0.168694188,46.48497865,54.72405133,0.49,0.073815823,1063.794951,19.68780333,0.52287791,0.00460692,0
Kepler-1240 b,1.15,1.6,4.8663815,1121,5682,0.98,0.96,0.04,0.522447961,0.142891861,1.209829868,-0.158324062,44.84466405,48.97907342,0.5795,0.041608534,1125.664317,13.21079927,0.300123359,0.006028212,0
Kepler-427 b,13.79,92.17,10.290994,1100,5800,0.96,1.35,-0.19,0.46981955,-1.134067047,0.484686647,-0.200140398,45.45990136,66.29104009,0.55,0.77969777,1185.766755,28.95547431,0.391109001,0.001123524,0
Kepler-1371 c,0.64,0.196,2.00541269,1216,5361,0.87,0.83,-0.07,0.760528867,-0.467827617,0.478515625,-0.200496258,44.9649634,44.99246674,0.65975,0.021402864,1218.602588,6.198064214,0.321040698,0.003202749,0
Kepler-1820 b,3.119,9.9,31.03249931,561,5841,1.05,0.93,0.07,-0.880976326,0.309451719,1.017664079,-0.169405555,43.87618495,55.07332915,0.53975,0.370131953,581.7644026,19.95390649,0.09146608,0.052743263,0
Kepler-1080 b,3.28,10.8,77.2548396,548,5956,1.1,1.16,0.09,-0.913555818,0.420491624,1.003866746,-0.170201196,44.07207014,55.62833155,0.511,0.393400647,569.5583555,20.32324153,0.083754366,0.055378637,0.022366821
Kepler-1084 b,1.11,1.41,2.05333679,1737,6113,1.12,1.28,-0.02,2.066214676,-0.190227854,1.144387631,-0.162097875,47.98175048,51.96768996,0.47175,0.003653048,1737.634534,12.62310194,1.270634316,0.000832851,0
Kepler-220 d,0.98,0.904,28.122397,401,4632,0.73,0.67,-0.174,-1.281954694,-1.045235123,0.941274469,-0.173810662,52.14652313,48.76114819,0.842,0.395364503,416.8541166,10.75695124,0.020048356,0.317726551,0.552589873
KOI-1257 b,10.54,460.83,86.647661,511,5520,0.99,1.13,0.27,-1.006282066,1.41985077,4.148198424,0.011120818,43.63062261,82.82738721,0.62,1,562.1,74.05733663,0.054320674,0.016462885,0.048263889
Kepler-1009 b,2.17,5.35,11.35011917,403,4027,0.59,0.57,-0.12,-1.276942464,-0.745427379,1.136146446,-0.162573114,50.50880138,52.1211411,0.99325,0.454549295,421.3183366,17.58591812,0.015178626,0.201927052,0.537089109
Kepler-723 b,12.19,376.9823739,4.08227507,1016,5539,0.92,0.89,0,0.259305907,-0.079187949,2.536960081,-0.081793356,44.49935633,80.23740854,0.61525,0.999999928,1117.599993,62.28402815,0.261894964,0.001023234,0
Kepler-739 b,3.32,11,12.53248465,775,5601,0.93,0.9,-0.08,-0.344667759,-0.523347569,0.997967775,-0.170541368,43.71846431,53.25638221,0.59975,0.205778888,790.9478638,20.38662448,0.132559962,0.01527206,0
Kepler-589 c,1.117,1.45,3.52466011,1098,5372,0.83,0.92,-0.02,0.464807321,-0.190227854,1.16214858,-0.161073666,44.65285506,48.19219787,0.657,0.043845164,1102.814199,12.76072758,0.273064153,0.006747853,0
Kepler-944 b,2.63,7.41,43.3167737,459,5409,0.86,0.83,-0.11,-1.136600035,-0.689907427,1.071289161,-0.166313194,47.65638346,54.43263694,0.64775,0.436922054,479.0547223,18.79962786,0.042895318,0.117343561,0.336615548
Kepler-1266 c,1.68,3.46,4.86631012,881,4996,0.79,0.83,0.14,-0.079019591,0.698091387,1.225907029,-0.157396952,43.70893803,49.13484037,0.751,0.107798535,890.497051,16.07316604,0.134091906,0.013578551,0
Kepler-632 b,2.21,5.52,30.99660733,500,5322,0.91,0.84,0.11,-1.033849329,0.531531529,1.130197989,-0.162916139,46.09441619,53.10753523,0.6695,0.37781317,518.8906585,17.70074007,0.051468139,0.097397558,0.198296325
Kepler-696 b,6.14,31.3,4.19042558,1234,5903,1.06,1.08,0.07,0.805638933,0.309451719,0.830247536,-0.180213176,46.19205589,57.37411958,0.52425,0.099143674,1246.234329,25.28750641,0.488865893,0.001453897,0
Kepler-671 b,2.69,7.7,4.28095859,1012,5624,0.97,0.95,0.08,0.249281448,0.364971672,1.06410912,-0.166727241,44.89588057,52.30704884,0.594,0.079983793,1020.09436,18.94904143,0.307249339,0.005893532,0
Kepler-711 b,3.41,11.5,23.58914398,487,5222,0.84,0.8,-0.04,-1.066428821,-0.301267759,0.988983583,-0.171059453,46.24215359,55.32246529,0.6945,0.451353145,508.9808981,20.56789059,0.051912966,0.081492371,0.232705215
Kepler-69 c,1.71,3.57,242.4613,299,5638,0.81,0.93,-0.29,-1.537578403,-1.689266573,1.220888479,-0.157686353,58.61894061,54.80453084,0.5905,0.562340553,315.8139825,16.18281523,0.020164823,0.561631347,0.903423672
Kepler-642 b,2.9,8.75,4.41745855,1810,6570,1.4,1.66,0.06,2.249161057,0.253931767,1.040428062,-0.16809284,44.69254126,52.65354571,0.3575,0.003903885,1810.706603,19.45463335,1.711009873,0.000403621,0
Kepler-755 c,1.26,2.13,2.85313364,1016,5043,0.82,0.77,-0.01,0.259305907,-0.134707901,1.34164777,-0.15072261,43.92061808,48.16824849,0.73925,0.063992616,1022.50165,14.56205114,0.171032678,0.00861169,0
Kepler-762 b,12.68,376.9823739,3.7705521,1302,5944,1.06,1.08,0.02,0.976054739,0.031851956,2.344674379,-0.092881764,46.55388336,81.46249499,0.514,0.999999765,1432.199969,61.06873421,0.539240621,0.000328514,0
Kepler-267 d,2.27,5.77,28.464515,301,4258,0.54,0.56,-0.18,-1.532566173,-1.078547095,1.119757806,-0.163518186,57.41272096,53.85486458,0.9355,0.562995303,317.9461586,17.85636278,0.009920937,0.47465182,0.896020283
Kepler-947 b,2.28,5.82,26.9644317,573,5508,0.9,0.87,-0.07,-0.850902948,-0.467827617,1.119575254,-0.163528713,43.79525331,52.8071869,0.623,0.316538073,591.1376316,17.89419194,0.069509351,0.05934284,0
Kepler-698 b,3.68,13.1,16.32976218,727,5612,0.94,0.91,-0.03,-0.464961269,-0.245747806,0.967332231,-0.172308007,43.62158297,54.14106313,0.597,0.256889193,745.6758443,21.13147251,0.114495929,0.018233726,0
Kepler-625 c,1.05,1.16,4.1653651,1048,5789,1.04,0.96,0.1,0.339501581,0.476011577,1.052154195,-0.167416637,45.31240013,48.95919973,0.55275,0.05171517,1053.41975,11.77205731,0.35871081,0.00866099,0
Kepler-849 b,8.082,298.7587,394.62508,362.7,5950,1.26,1.82,0.145,-1.37793889,0.725851363,4.573860016,0.035667152,49.98096984,81.45999449,0.5125,0.999999859,398.9699949,68.09557323,0.069232609,0.065188007,0.614687518
Kepler-84 d,1.38,2.48,4.224537,1254,6031,1.06,1.17,-0.07,0.855761229,-0.467827617,1.302247427,-0.152994683,47.20736536,52.54606077,0.49225,0.027125634,1257.401554,15.0142734,0.621774359,0.003291866,0
Kepler-35 b,8.16,40.363,131.458,912.5307146,5606,0.89,1.03,-0.34,0,-1.966866336,0.606182117,-0.193134202,42.87509789,56.76701277,0.5985,0.365906584,945.9208143,24.90948004,0.036362354,0.004284694,0
Kepler-766 b,3.39,11.4,6.10027804,990,5992,1.1,1.15,0.09,0.194146922,0.420491624,0.991985799,-0.170886327,46.01472446,54.9568161,0.502,0.102219398,1000.11972,20.53858876,0.458148564,0.005611078,0
Kepler-767 b,6.64,35.7,161.5280101,366,5694,0.96,0.94,-0.05,-1.369668711,-0.356787712,0.809714763,-0.181397225,50.53830837,62.69016571,0.5765,0.812846695,395.750189,25.96976926,0.028096368,0.125514594,0.625867399
Kepler-214 b,2.61,7.32,15.660544,758,6169,1.11,1.35,-0.02,-0.387271711,-0.190227854,1.074558506,-0.166124663,45.59024833,54.85444275,0.45775,0.195417935,772.8126795,18.75656513,0.378336788,0.019298817,0
Kepler-462 c,4,6,207.62,453,7500,1.59,1.57,0.05,-1.151636724,0.198411814,0.375,-0.206465623,49.1128359,55.21419122,0.125,0.400231648,471.1304937,13.71714256,0.199566704,0.117975216,0.36413023
Kepler-978 b,2.99,9.22,49.6221509,546,6002,1.07,1.09,-0.01,-0.918568048,-0.134707901,1.031308375,-0.168618739,44.36035254,55.32263538,0.4995,0.379067642,566.6970933,19.6674425,0.102441616,0.059593781,0.03230176
Kepler-896 b,2.53,6.94,144.547396,303,5262,0.84,0.81,-0.1,-1.527553944,-0.634387474,1.084222531,-0.165567374,56.88859204,55.76214071,0.6845,0.585008117,320.7257459,18.54972593,0.016385376,0.435687987,0.886368938
KOI-7913 b,2.34,6.08,24.278553,432,4324,0.76,0.79,-0.06,-1.204265135,-0.412307664,1.110380598,-0.164058935,48.94944201,52.56298465,0.919,0.436670497,450.8641655,18.05351967,0.023345593,0.154336093,0.434499425
Kepler-68 d,13.9,267,632.62,912.5307146,5847,1.06,1.26,0.11,0,0.531531529,1.38191605,-0.148400487,42.74299818,74.66564352,0.53825,0.99998374,1003.782302,49.08697317,0.022590961,0.001756342,0
Kepler-1032 b,1.87,4.16,3.29011795,802,4647,0.77,0.71,0.16,-0.27700266,0.809131292,1.189625097,-0.159489197,43.48653677,49.16359275,0.83825,0.142979268,813.4669373,16.70490017,0.095343171,0.018739085,0
Kepler-81 d,1.21,1.92,20.837846,418,4500,0.65,0.59,-0.18,-1.239350742,-1.078547095,1.311385834,-0.152467704,50.54869465,50.51095192,0.875,0.416396411,435.40537,14.10834112,0.016912535,0.243209174,0.488175799
Kepler-81 c,2.37,4.3,12.04,502,4385,0.64,0.59,-0.18,-1.028837099,-1.078547095,0.765546832,-0.183944227,45.94397865,49.77035416,0.90375,0.326493864,518.389992,15.08613805,0.021981362,0.101587098,0.20003475
Kepler-993 b,2.97,9.11,22.08557563,352,3843,0.57,0.54,0.03,-1.404754319,0.087371909,1.032774433,-0.168534196,52.85119918,54.15521983,1,0.544217269,371.1564479,19.6154821,0.007249139,0.254984303,0.711262334
Kepler-996 b,1.98,4.58,3.77059058,1272,6014,1.09,1.14,0.03,0.900871295,0.087371909,1.168248138,-0.160721927,47.25713944,53.58695223,0.4965,0.026914008,1275.423462,17.03405976,0.62962263,0.002577069,0
Kepler-769 b,2.92,8.85,7.42608998,1037,6186,1.19,1.28,0.06,0.311934318,0.253931767,1.037952712,-0.168235584,46.80891689,55.18386121,0.4535,0.078361944,1045.126134,19.49836663,0.565513071,0.005058047,0
Kepler-825 c,1.84,4.04,8.1818246,981,5976,1.03,1.08,-0.08,0.171591889,-0.523347569,1.193289225,-0.1592779,45.08486739,51.72993122,0.506,0.079789302,988.8273305,16.59586119,0.328710018,0.0082894,0
Kepler-616 c,3.41,11.5,90.4113556,413,5753,0.98,0.97,-0.02,-1.251881316,-0.190227854,0.988983583,-0.171059453,49.49626575,56.92216072,0.56175,0.531793315,434.9630639,20.56789059,0.045905229,0.140387492,0.489711584
Kepler-1033 b,2.51,6.85,7.56052806,914,5547,0.94,0.92,0.06,0.003682198,0.253931767,1.087284329,-0.165390812,44.04538274,51.46022487,0.61325,0.110076032,924.0609493,18.50233107,0.186636572,0.009377202,0
Kepler-722 c,2.82,8.35,105.144749,401,5863,1.03,1.05,0.02,-1.281954694,0.031851956,1.049997485,-0.167541007,50.43748718,56.20643664,0.53425,0.510410806,421.4674733,19.27244018,0.052467411,0.174262403,0.536571273
Kepler-818 b,5.11,22.9,10.03538581,786,5638,0.94,0.92,-0.08,-0.317100496,-0.523347569,0.876988063,-0.177517822,43.90006333,56.38910933,0.5905,0.3027992,809.8000171,23.70965932,0.16492117,0.010609456,0
Kepler-595 c,1.009,3.3,12.38602,679,5138.5,0.93,0.82,0.406,-0.58525478,2.174922125,3.241392384,-0.041171343,43.60456104,53.77567335,0.715375,0.331444889,701.505108,20.25486764,0.078567297,0.038406562,0
KOI-12 b,13.787,349.613,17.855182,911,6635,1.5,1.4,0.081,-0.003836147,0.370523667,1.839280735,-0.122025952,46.26908241,80.36728063,0.34125,0.999999782,1002.09998,56.39971656,0.498884613,0.001640011,0
KOI-3680 b,11.097,613.4119,141.241671,347,5830,1.01,0.96,0.16,-1.417284893,0.809131292,4.981280809,0.059161607,50.21632037,85.41436066,0.5425,1,381.7,83.27052985,0.035220699,0.056451096,0.674652778
CoRoT-7 c,2.83,8.4,3.698,912.5307146,5256,0.9,0.86,0.06,0,0.253931767,1.048833173,-0.167608148,44.22414574,51.75317632,0.686,0.11581493,923.0991828,19.29587371,0.211769579,0.008797987,0
Kepler-395 c,1.32,2.3,34.989262,341,4262,0.62,0.56,-0.02,-1.432321581,-0.190227854,1.320018365,-0.151969898,55.57991276,51.47204419,0.9345,0.495026541,357.8804051,14.78410285,0.008678204,0.437165458,0.757359705
Kepler-290 d,0.86,0.566,0.76401755,1589,5142,0.84,0.76,-0.06,1.695309686,-0.412307664,0.765278529,-0.183959699,45.77638727,46.79326768,0.7145,0.005372813,1589.85374,9.086089547,0.433487355,0.001211434,0
Kepler-776 b,1.28,2.18,4.89718784,904,5071,0.83,0.78,0.05,-0.02137895,0.198411814,1.330566406,-0.151361631,43.64750507,48.29530225,0.73225,0.096714085,912.7429533,14.61642911,0.125166754,0.013939164,0
Kepler-1695 b,1.119,1.46,4.7329,957,5473.19,0.96,0.99,-0.035,0.111445134,-0.273507783,1.165984246,-0.160852478,44.76993454,48.775912,0.6317025,0.07505277,964.1825501,12.79320642,0.279922271,0.012105319,0
Kepler-415 b,1.21,119.9,4.176,694,4362,0.67,0.64,0.01,-0.547663058,-0.023667996,81.8933133,4.494394931,43.05496477,90.57904274,0.9095,1,763.4,111.4897468,0.051304105,0.00999962,0
Kepler-417 b,2.31,11,12.331,671,5177,0.9,0.81,-0.204,-0.605303698,-1.211794981,2.061430633,-0.109215386,43.47642394,56.08022218,0.70575,0.34598818,694.2158069,24.44040371,0.079221005,0.027589369,0
Kepler-600 b,2.9,8.75,23.67517607,528,5279,0.84,0.81,-0.09,-0.963678114,-0.578867522,1.040428062,-0.16809284,44.75716889,54.01605384,0.68025,0.382624915,548.2025955,19.45463335,0.055446107,0.068543428,0.096518766
TOI-2236 b,14.37,502.16888,3.5315902,1688,6248,1.34,1.57,0.119,1.943415051,0.581499487,2.431847064,-0.087854836,46.60693314,83.21019517,0.438,0.999999998,1856.8,66.20862007,1.453247896,8.56E-05,0
TOI-2207 b,11.153,203.41018,8.001968,1259,6101,1.3,1.56,0.181,0.868291803,0.925723193,1.635269286,-0.13379054,48.17790124,78.37747628,0.47475,0.998572126,1384.720231,47.83089569,0.756156935,0.000473359,0
TOI-733 b,1.992,5.72,4.884765,1055.8,5585,0.96,0.95,-0.04,0.359049276,-0.301267759,1.441509008,-0.144963981,44.64232121,51.88203551,0.60375,0.068785461,1063.062369,18.97891453,0.273653277,0.005541902,0
K2-54 b,2.612,7.33,9.7833,560,3798,0.62,0.64,-0.02,-0.883482441,-0.190227854,1.074379293,-0.166134998,43.41107265,51.06798514,1,0.324934475,578.1963306,18.76218542,0.016716527,0.059772489,0
TOI-1201 b,2.415,6.28,2.4919863,703,3476,0.51,0.51,0.05,-0.525108025,0.198411814,1.076776016,-0.165996787,43.02620017,49.23276168,1,0.205059483,717.4156816,18.06089538,0.018534698,0.027314634,0
TOI-3235 b,11.4,211.35589,2.59261842,604,3388.8,0.39,0.37,0.264,-0.77321339,1.386538799,1.626314943,-0.134306904,42.75071605,72.45285563,1,0.999922075,664.3952933,48.22505977,0.008583241,0.010791675,0
BD-14 3065 b,21.59,3932,4.2889731,2001,6935,1.41,2.35,-0.34,2.727828983,-1.966866336,8.435449397,0.258350774,26.84601257,92.1811939,0.26625,1,2201.1,151.1466257,4.341527483,1.78E-05,0
Kepler-1226 b,1.45,2.7,17.2923453,809,5923,1.02,1.02,-0.08,-0.259459856,-0.523347569,1.284185493,-0.154036248,44.07314093,50.60759817,0.51925,0.141900451,820.4797465,15.28325656,0.171799221,0.020532064,0
Kepler-1305 b,1.88,4.19,13.5630972,733,5701,0.97,0.96,0.01,-0.449924581,-0.023667996,1.185491172,-0.159727585,44.0118066,51.4902341,0.57475,0.18819177,746.7944567,16.7203787,0.15357855,0.026487056,0
TOI-2447 b,9.606,124.90656,69.33684,414,5730,1.03,1.01,0.18,-1.249375201,0.920171197,1.35363035,-0.150031619,47.78059318,71.30840079,0.5675,0.997273257,455.2871129,40.38679179,0.0584577,0.05194251,0.419141969
Kepler-1366 b,1.43,2.63,2.16457097,783,4070,0.62,0.6,-0.02,-0.324618841,-0.190227854,1.286126461,-0.153924319,43.23452845,47.36827773,0.9825,0.14293031,794.1914433,15.1889544,0.052964975,0.023643415,0
Kepler-1362 b,2.6,7.27,136.205626,248,4857,0.8,0.74,0.06,-1.665390258,0.253931767,1.075443787,-0.166073612,57.36380552,55.93172871,0.78575,0.635754209,263.7667044,18.72830848,0.010328304,0.454537748,0.915856612
Kepler-1836 b,2.553,7.05,5.25416994,1093,6123,1.05,0.99,-0.14,0.452276747,-0.856467285,1.081651825,-0.165715617,45.63297681,53.26007785,0.46925,0.059030612,1099.452046,18.61174843,0.408960346,0.004369496,0
K2-366 b,2.359,6.16,15.937039,912.5307146,5601,0.83,0.94,-0.216,0,-1.278418924,1.106941909,-0.164257232,43.5818666,50.82606601,0.59975,0.108129604,922.3978731,18.0985761,0.123197745,0.009782432,0
K2-367 b,2.413,6.41,20.645099,912.5307146,4348,0.76,0.62,-0.351,0,-2.027938284,1.100888628,-0.164606302,42.79433166,48.4757722,0.913,0.103219229,921.9497863,18.2544342,0.016378975,0.009677946,0
KELT-23 A b,14.83,298.12454,2.255251,1561,5899,0.94,1,-0.105,1.625138472,-0.662147451,1.355549634,-0.149920941,47.24267051,78.39405214,0.52525,0.999953863,1717.092798,50.21648502,0.631742622,0.000144047,0
Kepler-777 b,1.47,2.76,5.72812599,569,4043,0.58,0.56,-0.17,-0.860927407,-1.023027142,1.277245592,-0.154436446,43.67651354,48.93313482,0.98925,0.282382062,585.0675393,15.34666087,0.02348222,0.077308459,0
Kepler-798 b,2.39,6.3,13.71933369,864,6224,1.19,1.29,0.03,-0.121623542,0.087371909,1.102921868,-0.164489053,45.59498392,53.95229753,0.444,0.132512578,875.4490868,18.18399683,0.390953939,0.01211034,0
