pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,st_teff,st_mass,st_rad,st_met,pl_eqt_normalized,st_met_normalized,surface_gravity,surface_gravity_normalized,habitability_score,terraformability_score,st_activity,pl_atmos,pl_surf_temp,pl_escape_vel,pl_radiation_flux,ESI,pl_water_probability
Kepler-282 b,1.01,1.01,9.220524,817,5602,0.86,0.9,-0.2,-0.239410938,-1.189587,0.99009901,-0.170995131,44.06225029,47.78823525,0.5995,0.117080707,826.5654937,11.2,0.162770945,0.025065339,0
HIP 66074 b,12.9,1589.14204,310.9,912.5307146,4300,0.71,0.69,0.12,0,0.587051482,9.54955856,0.322597341,42.59175844,92.42921126,0.925,1,1003.783786,124.3095591,0.003182106,0.001036529,0
KMT-2019-BLG-0298L b,13.4,575.26942,,912.5307146,5412.39249,0.7,,0.014262971,0,-3.37E-16,3.203772667,-0.043340733,42.57301895,82.32173492,0.646901878,1,1003.783786,73.38398095,0,0.001412897,0
HATS-28 b,13.384,213.58176,3.1810781,1253,5498,0.93,0.92,0.01,0.853255114,-0.023667996,1.192318562,-0.159333875,44.92920032,74.37343908,0.6255,0.999012833,1378.176308,44.74114963,0.320800393,0.000456365,0
WASP-53 b,12.038,677.61356,3.3098443,1053,4953,0.84,0.8,0.22,0.352032155,1.142251008,4.67598824,0.041556511,43.70964989,85.50684469,0.76175,1,1158.3,84.02952282,0.155598268,0.000732598,0
WASP-53 c,5.736252785,5196.5205,2840,912.5307146,4953,0.84,0.8,0.22,0,1.142251008,157.9268895,8.878970922,42.57827475,99.8876508,0.76175,1,1003.783786,337.1011269,0.001723181,0.000808932,0
TOI-1338 b,7.661,11.3,95.4001,254.6525048,5723.2,1.09,1.31,0.01,-1.648718317,-0.023667996,0.192534038,-0.216987762,56.67716529,54.84433343,0.5692,0.624879188,270.5652098,13.60236778,0.07912048,0.338340774,0.939462534
Kepler-1526 b,2.43,6.48,3.908632,787,4601,0.73,0.69,-0.01,-0.314594382,-0.134707901,1.09739369,-0.164807842,43.33681059,49.99738495,0.84975,0.161822221,799.7354088,18.28952341,0.077146064,0.017467601,0
Kepler-703 b,8.2,51.1,4.58352176,1038,6185,1.18,1.27,0.05,0.314440433,0.198411814,0.759964307,-0.184266151,48.28517591,64.44124135,0.45375,0.391797989,1078.668631,27.95899436,0.767461461,0.00228337,0
Kepler-320 c,1.37,2.45,17.934937,1002,6435,1.07,1.11,-0.123,0.2242203,-0.762083365,1.305343918,-0.152816119,44.70445792,51.01078952,0.39125,0.072282392,1009.242696,14.97755011,0.27664964,0.008772085,0
